D,rho,H,chave_kg,alvarez_kg,ratio,pct_diff
44.75,0.6,28.161898099825844,1772.9999957982086,1687.7185901952398,1.0505305837705463,5.053058377054631
45,0.6,28.20819086117726,1795.2615907997563,1707.9483755037709,1.051121694629811,5.112169462981098
45.25,0.6,28.253965747472623,1817.655889834817,1728.2873458845938,1.0517093087344693,5.170930873446933
45.5,0.6,28.299228552157068,1840.1826734168421,1748.735247354254,1.0522934653492821,5.229346534928214
45.75,0.6,28.343985003864738,1862.841722657487,1769.291827214916,1.0528742031153957,5.28742031153957
46,0.6,28.3882407671438,1885.6328193011345,1789.9568340738772,1.053451560063324,5.345156006332408
46.25,0.6,28.43200144317336,1908.5557457583075,1810.730017862223,1.0540255736255917,5.402557362559168
46.5,0.6,28.47527257047239,1931.610285137994,1831.6111298526305,1.0545962806490532,5.45962806490532
46.75,0.6,28.51805962560071,1954.7962212789046,1852.5999226763572,1.0551637174068913,5.51637174068913
47,0.6,28.560368023852092,1978.1133387796915,1873.6961503394373,1.055727919610305,5.57279196103051
47.25,0.6,28.602203119939663,2001.5614230281444,1894.899568238084,1.0562889224199026,5.628892241990258
47.5,0.6,28.643570208673623,2025.1402602293938,1916.2099331733302,1.0568467604568097,5.68467604568097
47.75,0.6,28.684474525631348,2048.849637433136,1937.6270033649496,1.057401467813482,5.740146781348199
48,0.6,28.724921247820063,2072.68934255991,1959.1505384646207,1.0579530780642663,5.795307806426631
48.25,0.6,28.76491549433203,2096.6591644264345,1980.7802995684065,1.0585016242756842,5.850162427568417
48.5,0.6,28.804462326992457,2120.7588927700413,2002.5160492285504,1.0590471390164602,5.904713901646019
48.75,0.6,28.843566751000147,2144.988318272214,2024.3575514645966,1.0595896543673042,5.9589654367304234
49,0.6,28.88223371556096,2169.347232581255,2046.30457177383,1.0601292019304662,6.0129201930466225
49.25,0.6,28.92046811451421,2193.8354283341023,2068.3568771411374,1.06066581283903,6.066581283903005
49.5,0.6,28.958274786952057,2218.452699177314,2090.514236048192,1.0611995177660072,6.119951776600718
49.75,0.6,28.99565851783194,2243.19883978724,2112.7764184820694,1.0617303469331947,6.173034693319468
50,0.6,29.032624038582206,2268.0736458893934,2135.1431959432707,1.0622583301198196,6.225833011981963
50.25,0.6,29.06917602770092,2293.0769142770523,2157.6143414531384,1.0627834966709948,6.278349667099481
50.5,0.6,29.105319111347985,2318.2084428290973,2180.1896295607758,1.0633058755059426,6.330587550594258
50.75,0.6,29.14105786393068,2343.4680305271095,2202.8688363493625,1.0638254951260515,6.382549512605151
51,0.6,29.176396808682586,2368.855477471742,2225.651739441988,1.0643423836227215,6.434238362272149
51.25,0.6,29.211340418236066,2394.3705848983836,2248.538118006924,1.0648565686850457,6.485656868504575
51.5,0.6,29.245893115188345,2420.0131551921304,2271.5277527624526,1.0653680776072851,6.5368077607285135
51.75,0.6,29.280059272661255,2445.782991902087,2294.6204259811416,1.0658769372962025,6.587693729620248
52,0.6,29.313843214854717,2471.679899754998,2317.815921493712,1.0663831742781924,6.63831742781924
52.25,0.6,29.347249217594,2497.7036846682445,2341.1140246923824,1.0668868147062753,6.688681470627533
52.5,0.6,29.380281508870922,2523.8541537622045,2364.5145225338056,1.067387884366915,6.73878843669149
52.75,0.6,29.41294426937894,2550.131115372007,2388.017203541553,1.067886408686684,6.788640868668394
53,0.6,29.445241633042283,2576.5343790586776,2411.621857808183,1.0683824127387767,6.8382412738776654
53.25,0.6,29.47717768753915,2603.063755619704,2435.328276996856,1.06887592124939,6.88759212493899
53.5,0.6,29.508756474819066,2629.719057099031,2459.136254342644,1.0693669586039207,6.9366958603920725
53.75,0.6,29.53998199161445,2656.500096796494,2483.045584653311,1.0698555488530836,6.985554885308365
54,0.6,29.57085818994645,2683.4066892767105,2507.0560643098624,1.070341715718828,7.034171571882797
54.25,0.6,29.601388977625138,2710.4386503774444,2531.1674912665976,1.0708254826001813,7.082548260018129
54.5,0.6,29.63157821874408,2737.595797217446,2555.3796650508853,1.0713068725789254,7.130687257892543
54.75,0.6,29.661429734169406,2764.87794820379,2579.6923867625787,1.0717859084251562,7.17859084251562
55,0.6,29.690947302023382,2792.284923038722,2604.1054590730478,1.0722626126027393,7.226261260273925
55.25,0.6,29.720134658162586,2819.8165427260224,2628.61868622396,1.0727370072746154,7.273700727461541
55.5,0.6,29.748995496650746,2847.4726295769055,2653.231874025657,1.0732091143080285,7.320911430802846
55.75,0.6,29.77753347022626,2875.2530072154573,2677.944829855295,1.0736789552796067,7.367895527960666
56,0.6,29.805752190764494,2903.1575005836285,2702.757362654655,1.0741465514803519,7.414655148035187
56.25,0.6,29.83365522973494,2931.1859359457994,2727.669282927654,1.074611923920523,7.461192392052296
56.5,0.6,29.861246118653217,2959.3381408929163,2752.680402737601,1.0750750933344058,7.507509333440576
56.75,0.6,29.888528349528027,2987.6139443462143,2777.790535704148,1.075536080184994,7.5536080184994026
57,0.6,29.91550537530313,3016.0131765605474,2802.999496999998,1.0759949046685646,7.599490466856462
57.25,0.6,29.94218061029437,3044.5356691273187,2828.3071033473793,1.0764515867191462,7.64515867191462
57.5,0.6,29.968557430621775,3073.1812549770343,2853.713173014204,1.0769061460129223,7.690614601292234
57.75,0.6,29.99463917463688,3101.949768381485,2879.217525810066,1.077358601972511,7.735860197251099
58,0.6,30.02042914334523,3130.841044955568,2904.8199830819376,1.077808973771183,7.78089737711829
58.25,0.6,30.04593060082416,3159.8549216587585,2930.520367709706,1.0782572803369679,7.825728033696788
58.5,0.6,30.071146774635924,3188.9912367962334,2956.3185041014285,1.0787035403566998,7.87035403566998
58.75,0.6,30.09608085623618,3218.2498300196703,2982.2142181884265,1.0791477722799625,7.91477722799625
59,0.6,30.120736001377917,3247.6305423277176,3008.207337420147,1.079589994322965,7.9589994322964985
59.25,0.6,30.14511533051085,3277.1332160661514,3034.2976907588586,1.0800302244723263,8.003022447232633
59.5,0.6,30.16922192917636,3306.757694927725,3060.4851086741073,1.080468480488804,8.046848048880406
59.75,0.6,30.193058848398028,3336.503823951722,3086.7694231370574,1.0809047799109213,8.090477991092126
60,0.6,30.21662910506776,3366.371449523224,3113.150467614585,1.0813391400585486,8.133914005854859
